Student Batch-Wise Attendance,Đợt sinh viên - ĐIểm danh thông minh,
Student Category,sinh viên loại,
Student Data,Dữ liệu học sinh,
Student Details,Chi tiết Sinh viên,
Student Email,Email dành cho sinh viên,
Student Email Address,Địa chỉ Email sinh viên,
Student Email ID,Email ID Sinh viên,
Student Fee Collection,Bộ sưu tập Phí sinh viên,
Student Group,Nhóm sinh viên,
Student Group Creation Tool,Công cụ tạo nhóm học sinh,
Student Group Creation Tool Course,Nhóm Sinh viên Công cụ tạo khóa học,
Student Group Instructor,Hướng dẫn nhóm sinh viên,
Student Group Name,Tên nhóm học sinh,
Student Group Name is mandatory in row {0},Tên nhóm học sinh là bắt buộc ở hàng {0},
Student Group Strength,Sức mạnh nhóm sinh viên,
Student Group Student,Nhóm học sinh sinh viên,
Student Group is already updated.,Nhóm sinh viên đã được cập nhật.,
Student Group is mandatory,Nhóm học sinh là bắt buộc,
Student Group: ,Nhóm học sinh:,
Student Guardian,Người giám hộ sinh viên,
Student ID,thẻ học sinh,
Student ID: ,Thẻ học sinh:,
Student Language,Ngôn ngữ học,
Student Leave Application,Ứng dụng Để lại Sinh viên,
Student Log,sinh viên Đăng nhập,
Student Mobile No.,Sinh viên Điện thoại di động số,
Student Mobile Number,Số di động Sinh viên,
Student Monthly Attendance Sheet,Sinh viên tham dự hàng tháng Bảng,
Student Name,Tên học sinh,
Student Name: ,Tên học sinh:,
Student Report Card,Thẻ Báo Cáo của Học Sinh,
Student Report Generation Tool,Công cụ Tạo Báo cáo Sinh viên,
Student Sibling,sinh viên anh chị em ruột,
Student Siblings,Anh chị em sinh viên,
Student and Guardian Contact Details,Sinh viên và người giám hộ Chi tiết liên lạc,
Student is already enrolled via Course Enrollment {0},Sinh viên đã được ghi danh qua Đăng ký khóa học {0},
Student is already enrolled.,Sinh viên đã được ghi danh.,
Student with email {0} does not exist,Sinh viên có email {0} không tồn tại,
Student {0} - {1} appears Multiple times in row {2} & {3},Sinh viên {0} - {1} xuất hiện nhiều lần trong hàng {2} &amp; {3},
Student {0} does not belong to group {1},Sinh viên {0} không thuộc nhóm {1},
Student {0} exist against student applicant {1},Sinh viên {0} tồn tại đối với người nộp đơn sinh viên {1},
Student {0}: {1} does not belong to Student Group {2},Sinh viên {0}: {1} không thuộc Nhóm Sinh viên {2},
Students,Sinh viên,
Students HTML,Học sinh HTML,
Studying in Same Institute,Học tập tại Cùng Viện,
Submit,Nộp,
Submit Sales Invoice from Program Enrollment / Fee Schedule,Gửi hóa đơn bán hàng từ đăng ký chương trình / biểu phí,
Submit Sales Order from Program Enrollment / Fee Schedule,Gửi đơn bán hàng từ đăng ký chương trình / biểu phí,
Submitted,Đã nộp,
Sum of Scores of Assessment Criteria needs to be {0}.,Sum của Điểm của tiêu chí đánh giá cần {0} được.,
Summary,Tóm tắt,
Sunday,Chủ nhật,
Supervisor,Giám sát viên,
Supervisor Name,Tên Supervisor,
System Manager,Quản lý Hệ thống,
Term,Kỳ hạn,
Term End Date,Ngày kết thúc kỳ hạn,
Term Name,Tên kỳ hạn,
Term Start Date,Ngày bắt đầu kỳ hạn,
Terms,Điều Khoản,
The Term End Date cannot be before the Term Start Date. Please correct the dates and try again.,Ngày kết thúc kỳ hạn không thể trước ngày bắt đầu kỳ hạn. Vui lòng sửa ngày và thử lại.,
The Term cannot end after the Academic Year {0},Kỳ hạn không thể kết thúc sau năm học {0},
The Term cannot start before the Academic Year {0},Kỳ hạn không thể bắt đầu trước năm học {0},
The Year End Date cannot be earlier than the Year Start Date. Please correct the dates and try again.,Ngày kết thúc của năm không thể sớm hơn ngày bắt đầu năm. Xin vui lòng sửa ngày và thử lại.,
The question cannot be duplicate,Câu hỏi không thể trùng lặp,
There is a problem with the payment gateway. Please contact the Administrator to proceed.,Có sự cố với cổng thanh toán. Vui lòng liên hệ với Quản trị viên để tiếp tục.,
There were errors creating Course Schedule,Có lỗi khi tạo Lịch học,
This article is already added to the existing topics,Bài viết này đã được thêm vào các chủ đề hiện có,
This course is already added to the existing programs,Khóa học này đã được thêm vào các chương trình hiện có,
This is based on the attendance of this Student,Điều này được dựa trên sự tham gia của sinh viên này,
This is based on the course schedules of this Instructor,Điều này dựa trên lịch trình khóa học của Người hướng dẫn này,
This quiz is already added to the existing topics,Bài kiểm tra này đã được thêm vào các chủ đề hiện có,
This topic is already added to the existing courses,Chủ đề này đã được thêm vào các khóa học hiện có,
This {0} conflicts with {1} for {2} {3},{0} xung đột với {1} cho {2} {3},
Threshold,ngưỡng,
Thursday,Thứ năm,
Time Taken,Thời gian Đã Thực hiện,
Title,Tiêu đề,
To Date,Đến Ngày,
To Time,Đến Thời Gian,
Toggle Full Width,Chuyển đổi Độ rộng đầy đủ,
Toggle Theme,Chuyển đổi Chủ đề,
Tools,Công cụ,
Topic,Chủ đề,
Topic Content,Nội dung chủ đề,
Topic Name,Tên chủ đề,
Topic {0} has been added to all the selected courses successfully.,Chủ đề {0} đã được thêm vào tất cả các khóa học đã chọn thành công.,
Topics,Chủ đề,
Topics updated,Các chủ đề được cập nhật,
Total,Tổng cộng,
Total Absent,Tổng số ngày vắng,
Total Amount,Tổng số tiền,
Total Amount per Student,Tổng số tiền trên mỗi sinh viên,
Total Collected: {0},Tổng Số Được Thu: {0},
Total Leave,Tổng Số Ngày Nghỉ Phép,
Total Leave Days,Tổng Số Ngày Nghỉ,
Total Outstanding: {0},Tổng số: {0},
Total Parents Teacher Meeting,Tổng số Phụ huynh Họp,
Total Present,Tổng số ngày có mặt,
Total Score,Tổng điểm,
Total Student,Tổng số sinh viên,
Total Students,Tổng số sinh viên,
Total Weightage of all Assessment Criteria must be 100%,Tổng trọng lượng của tất cả các tiêu chí đánh giá phải là 100%,
Total amount in the table should be equal to the total amount from fee structure,Tổng số tiền trong bảng phải bằng tổng số tiền từ cơ cấu phí,
Total amount of Fee Schedules exceeds the Total Amount of Fee Structure,Tổng giá trị của Bảng Phí vượt quá Tổng giá trị của Cấu trúc Phí.,
Treshold {0}% appears more than once,Ngưỡng {0}% xuất hiện nhiều lần,
Tuesday,Thứ Ba,
Type,Loại,
Uncheck all,Bỏ chọn tất cả,
Unpaid,Chưa thanh toán,
User Forum,Diễn đàn người dùng,
User ID,ID người dùng,
User Id,Tên người dùng,
User {0} already exists,Người dùng {0} đã tồn tại,
User {0} created,Người dùng {0} đã tạo,
Validate Batch for Students in Student Group,Xác nhận tính hợp lệ cho sinh viên trong nhóm học sinh,
Validate Enrolled Course for Students in Student Group,Xác nhận khoá học đã đăng ký cho sinh viên trong nhóm học sinh,
Video,Video,
View,Xem,
View Website,Xem Trang Web,
Wednesday,Thứ tư,
Weightage,Trọng lượng,
Work Address,Địa chỉ làm việc,
Wrong,Sai rồi,
YES,ĐÚNG,
Year,Năm,
Year End Date,Ngày kết thúc năm,
Year Start Date,Ngày bắt đầu năm,
You are not allowed to enroll for this course,Bạn không được phép đăng ký khóa học này,
You are not enrolled in program {0},Bạn chưa đăng ký chương trình {0},
You have already assessed for the assessment criteria {}.,Bạn đã đánh giá các tiêu chí đánh giá {}.,
amber,màu hổ phách,
blue,màu xanh da trời,
cyan,màu xanh lơ,
green,màu xanh lá,
lft,lft,
old_parent,parent cũ,
orange,trái cam,
pink,hồng,
purple,màu tím,
red,màu đỏ,
rgt,rgt,
teal,mòng két,
violet,violet,
yellow,màu vàng,
{0} - {1} is inactive student,{0} - {1} là sinh viên không hoạt động,
{0} - {1} is not enrolled in the Batch {2},{0} - {1} không được ghi danh trong Batch {2},
{0} - {1} is not enrolled in the Course {2},{0} - {1} không được ghi danh vào Khóa học {2},
{0} Fee Schedule(s) created,{0} (Các) Lịch Phí đã được tạo,
{0} Result submittted,{0} Đã gửi kết quả,
{0} Student Groups created.,{0} Các nhóm sinh viên được tạo ra.,
{0} Students have been enrolled,{0} Học sinh đã ghi danh,
{0} is mandatory,{0} là bắt buộc,
{0} or {1} is mandatory,{0} hoặc {1} là bắt buộc,
{0} {1} has been added to all the selected topics successfully.,{0} {1} đã được thêm vào tất cả các chủ đề đã chọn thành công.,
